Wavelength;ENO3;EBr_20C;Reference
187.691;-0.005178;0.120401;1615.19
188.507;-0.002909;0.125337;1839.2
189.324;0.004437;0.120117;1757.52
190.141;-0.001120;0.126677;2505.82
190.958;-0.002568;0.133409;4765.38
191.775;0.002567;0.132550;6572.48
192.593;0.003753;0.131542;5839.85
193.41;-0.004624;0.141337;3822.73
194.227;-0.002765;0.144497;4222.8
195.045;0.004424;0.137132;8716.77
195.863;-0.001650;0.140833;14490.8
196.68;-0.003849;0.143951;18804.1
197.498;0.004406;0.137993;21422.2
198.316;0.003147;0.135795;22258.9
199.134;-0.003065;0.143184;22385.9
199.952;0.000407;0.137998;23690.4
200.77;0.006042;0.133769;26364.4
201.588;-0.002024;0.137366;29499.3
202.406;-0.002185;0.136835;32099.8
203.225;0.002029;0.125968;33175.4
204.043;0.003234;0.121667;32577.2
204.862;0.001804;0.113772;31136.7
205.68;0.006448;0.101106;29095.3
206.499;0.007437;0.087397;26329.2
207.317;0.006967;0.074970;23211.6
208.136;0.007504;0.062843;20835.2
208.955;0.007473;0.052177;19402.8
209.774;0.007233;0.043003;17891
210.593;0.006955;0.035187;16613.9
211.412;0.006698;0.028494;16089
212.231;0.006402;0.022731;15771.1
213.05;0.006014;0.017972;15713.5
213.869;0.005681;0.014110;15871.7
214.688;0.005311;0.010982;15897.6
215.507;0.004940;0.008446;16318.7
216.326;0.004541;0.006390;17273.7
217.146;0.004181;0.004768;18426.4
217.965;0.003835;0.003464;19764.1
218.784;0.003473;0.002462;21187.6
219.604;0.003141;0.001682;22720.6
220.423;0.002824;0.001099;24096.3
221.242;0.002505;0.000659;25312.2
222.062;0.002215;0.000322;26264.9
222.881;0.001947;0.000078;26555.3
223.701;0.001698;-0.000103;26617.7
224.52;0.001476;-0.000198;26676.5
225.34;0.001287;-0.000299;27257.8
226.16;0.001150;-0.000417;29371.5
226.979;0.001030;-0.000447;33092.2
227.799;0.000899;-0.000376;39299.5
228.618;0.000769;-0.000320;47213.5
229.438;0.000649;-0.000313;49328.6
230.258;0.000514;-0.000277;42169.9
231.077;0.000429;-0.000272;33663
231.897;0.000353;-0.000283;28168
232.717;0.000283;-0.000246;24090.2
233.536;0.000224;-0.000217;22295.1
234.356;0.000177;-0.000207;22177.4
235.176;0.000136;-0.000178;21720.7
235.995;0.000088;-0.000141;21227.4
236.815;0.000060;-0.000118;20973.6
237.635;0.000043;-0.000101;20743.6
238.454;0.000033;-0.000083;21087.3
239.274;0.000018;-0.000064;22262.2
240.094;0.000026;-0.000074;24628.2
240.913;0.000021;-0.000065;28971.9
241.733;0.000009;-0.000014;35081.2
242.552;-0.000021;0.000037;40561.6
243.372;-0.000027;0.000046;40890.7
244.192;-0.000022;0.000025;36367.6
245.011;-0.000010;-0.000005;32903.5
245.831;0.000005;-0.000019;34060.8
246.65;0.000009;0.000014;39028
247.469;-0.000009;0.000072;42404
248.289;-0.000025;0.000085;38333.1
249.108;-0.000016;0.000071;30032.5
249.928;-0.000016;0.000076;23213
250.747;-0.000012;0.000051;18944
251.566;-0.000012;0.000064;17062.4
252.385;-0.000001;0.000067;16305.6
253.205;-0.000021;0.000058;14737
254.024;-0.000037;0.000030;12377.4
254.843;-0.000007;-0.000014;10651.9
255.662;0.000017;-0.000062;9885.41
256.481;0.000007;-0.000062;9767.34
257.3;0.000033;-0.000095;10214.7
258.119;0.000056;-0.000138;11077
258.938;0.000078;-0.000166;12456.7
259.756;0.000065;-0.000131;14410.7
260.575;0.000073;-0.000113;15498.1
261.394;0.000076;-0.000110;14132.3
262.212;0.000061;-0.000095;11825.3
263.031;0.000072;-0.000095;10476.7
263.849;0.000098;-0.000103;9837.74
264.668;0.000118;-0.000088;9478.41
265.486;0.000113;-0.000080;9558.87
